entry_id,account,gross_value,entry_date
TXN-9C9C44CD,M-932,13311.62,03.08.2026
TXN-CC034BF2,M-928,32476.35,03.08.2026
TXN-32B2B8C7,M-151,47142.89,11.08.2026
TXN-49EA2E7B,M-608,36359.33,19.08.2026
TXN-E3CF80BB,M-291,11128.45,14.08.2026
TXN-15CB21C4,M-731,30898.28,15.08.2026
TXN-1B704CD0,M-590,44197.54,10.08.2026
TXN-C3841115,M-758,21252.12,09.08.2026
TXN-A80EF91C ,M-656,49707.32,17.08.2026
TXN-AEAE2EB2,M-679,24491.63,16.08.2026
TXN-B7D728E3,M-324,16284.44,09.08.2026
TXN-0CCC20E1,M-642,49580.8,09.08.2026
TXN-F2358D44,M-772,5456.65,19.08.2026
TXN-00FC17BC,M-324,38320.46,18.08.2026
txn-26726065,M-425,12209.28,12.08.2026
TXN-F01F12B9 ,M-292,7534.06,12.08.2026
TXN-F7F8E9D3,M-338,4967.74,06.08.2026
TXN-CA52390C,M-728,16920.83,17.08.2026
txn-2a0cd768,M-921,9284.26,05.08.2026
txn-8a4a5eef,M-245,35382.47,01.08.2026
TXN-188FF7CF,M-203,20081.98,12.08.2026
TXN-39558D7F ,M-547,36751.43,11.08.2026
GW/TXN-2E1DE8A6,M-728,34831.24,06.08.2026
TXN-11DBDB5B,M-230,34580.67,13.08.2026
TXN-01EA4687,M-608,5653.46,08.08.2026
TXN-79C4FF76,M-271,49127.79,03.08.2026
TXN-5F6606A5,M-355,13628.02,11.08.2026
TXN-1E853BCB,M-495,563.42,09.08.2026
TXN-E32F99EA,M-487,20993.95,14.08.2026
TXN-1A1C48CA,M-984,24234.72,13.08.2026
TXN-1429F19A,M-134,40060.13,06.08.2026
TXN-08AA867A,M-274,4172.92,11.08.2026
TXN-D148157F,M-195,27578.79,06.08.2026
TXN-49D285BE,M-769,2034.16,20.08.2026
